State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,2020,2,south andaman district,3,795
andaman-&-nicobar-islands,2020,2,nicobars district,3,565
andaman-&-nicobar-islands,2020,3,north and middle andaman district,1,281
andaman-&-nicobar-islands,2020,3,south andaman district,35,13651
andaman-&-nicobar-islands,2020,3,nicobars district,5,1448
andaman-&-nicobar-islands,2020,4,north and middle andaman district,13,17734
andaman-&-nicobar-islands,2020,4,south andaman district,109,137494
andaman-&-nicobar-islands,2020,4,nicobars district,2,2747
andaman-&-nicobar-islands,2021,1,north and middle andaman district,48,63978
andaman-&-nicobar-islands,2021,1,south andaman district,164,167044
andaman-&-nicobar-islands,2021,1,nicobars district,13,13244
andaman-&-nicobar-islands,2021,2,north and middle andaman district,28,45311
andaman-&-nicobar-islands,2021,2,south andaman district,105,121104
andaman-&-nicobar-islands,2021,2,nicobars district,4,15089
andaman-&-nicobar-islands,2021,3,north and middle andaman district,33,50997
andaman-&-nicobar-islands,2021,3,south andaman district,182,223699
andaman-&-nicobar-islands,2021,3,nicobars district,15,30539
andaman-&-nicobar-islands,2021,4,north and middle andaman district,81,182061
andaman-&-nicobar-islands,2021,4,south andaman district,632,800758
andaman-&-nicobar-islands,2021,4,nicobars district,44,73561
andaman-&-nicobar-islands,2022,1,north and middle andaman district,48,85229
andaman-&-nicobar-islands,2022,1,south andaman district,692,982206
andaman-&-nicobar-islands,2022,1,nicobars district,28,63852
andaman-&-nicobar-islands,2022,2,north and middle andaman district,45,90403
andaman-&-nicobar-islands,2022,2,south andaman district,430,633029
andaman-&-nicobar-islands,2022,2,nicobars district,26,56308
andaman-&-nicobar-islands,2022,3,north and middle andaman district,70,129013
andaman-&-nicobar-islands,2022,3,south andaman district,535,687813
andaman-&-nicobar-islands,2022,3,nicobars district,38,85640
andaman-&-nicobar-islands,2022,4,north and middle andaman district,112,224198
andaman-&-nicobar-islands,2022,4,south andaman district,750,1114857
andaman-&-nicobar-islands,2022,4,nicobars district,39,102155
andaman-&-nicobar-islands,2023,1,north and middle andaman district,85,178969
andaman-&-nicobar-islands,2023,1,south andaman district,872,1172083
andaman-&-nicobar-islands,2023,1,nicobars district,47,88146
andaman-&-nicobar-islands,2023,2,north and middle andaman district,56,109742
andaman-&-nicobar-islands,2023,2,south andaman district,670,1060976
andaman-&-nicobar-islands,2023,2,nicobars district,42,62677
andaman-&-nicobar-islands,2023,3,north and middle andaman district,77,133536
andaman-&-nicobar-islands,2023,3,south andaman district,682,1052324
andaman-&-nicobar-islands,2023,3,nicobars district,36,65285
andaman-&-nicobar-islands,2023,4,north and middle andaman district,95,156995
andaman-&-nicobar-islands,2023,4,south andaman district,1006,1504528
andaman-&-nicobar-islands,2023,4,nicobars district,44,96298
andaman-&-nicobar-islands,2024,1,north and middle andaman district,125,229226
andaman-&-nicobar-islands,2024,1,south andaman district,1190,1657627
andaman-&-nicobar-islands,2024,1,nicobars district,56,77703
andaman-&-nicobar-islands,2024,2,north and middle andaman district,74,164686
andaman-&-nicobar-islands,2024,2,south andaman district,974,1513489
andaman-&-nicobar-islands,2024,2,nicobars district,49,66519
andaman-&-nicobar-islands,2024,3,north and middle andaman district,95,151791
andaman-&-nicobar-islands,2024,3,south andaman district,1044,1530179
andaman-&-nicobar-islands,2024,3,nicobar district,51,68638
andaman-&-nicobar-islands,2024,3,nicobars district,1,2192
andaman-&-nicobar-islands,2024,4,north and middle andaman district,131,219770
andaman-&-nicobar-islands,2024,4,south andaman district,1085,1670015
andaman-&-nicobar-islands,2024,4,nicobar district,77,136595
andhra-pradesh,2020,2,east godavari district,1913,352220
andhra-pradesh,2020,2,srikakulam district,536,107046
andhra-pradesh,2020,2,spsr nellore district,931,176423
andhra-pradesh,2020,2,vizianagaram district,893,166029
andhra-pradesh,2020,2,visakhapatnam district,3504,614212
andhra-pradesh,2020,2,prakasam district,847,161709
andhra-pradesh,2020,2,anantapur district,2739,485777
andhra-pradesh,2020,2,ysr district,1978,343002
andhra-pradesh,2020,2,west godavari district,1074,202289
andhra-pradesh,2020,2,kurnool district,825,158720
andhra-pradesh,2020,2,chittoor district,2228,395099
andhra-pradesh,2020,2,guntur district,1938,344326
andhra-pradesh,2020,2,krishna district,2698,475539
andhra-pradesh,2020,3,east godavari district,3783,970549
andhra-pradesh,2020,3,srikakulam district,1535,383049
andhra-pradesh,2020,3,spsr nellore district,5509,1259159
andhra-pradesh,2020,3,vizianagaram district,2999,691281
andhra-pradesh,2020,3,visakhapatnam district,7906,1892376
andhra-pradesh,2020,3,prakasam district,2565,722751
andhra-pradesh,2020,3,anantapur district,2911,764850
andhra-pradesh,2020,3,ysr district,3397,847519
andhra-pradesh,2020,3,west godavari district,2543,696749
andhra-pradesh,2020,3,kurnool district,3493,841970
andhra-pradesh,2020,3,chittoor district,4422,1178762
andhra-pradesh,2020,3,guntur district,4230,1083584
andhra-pradesh,2020,3,krishna district,4519,1093882
andhra-pradesh,2020,4,east godavari district,1965,1355741
andhra-pradesh,2020,4,srikakulam district,811,546440
andhra-pradesh,2020,4,spsr nellore district,1348,810758
andhra-pradesh,2020,4,vizianagaram district,897,651040
andhra-pradesh,2020,4,visakhapatnam district,3464,2203761
andhra-pradesh,2020,4,prakasam district,1190,572976
andhra-pradesh,2020,4,anantapur district,1534,794053
andhra-pradesh,2020,4,ysr district,1165,631876
andhra-pradesh,2020,4,west godavari district,1390,906282
andhra-pradesh,2020,4,kurnool district,1092,500768
andhra-pradesh,2020,4,chittoor district,1727,1168506
andhra-pradesh,2020,4,guntur district,2570,1620649
andhra-pradesh,2020,4,krishna district,2311,1222782
andhra-pradesh,2021,1,east godavari district,1937,1065604
andhra-pradesh,2021,1,srikakulam district,854,588769
andhra-pradesh,2021,1,spsr nellore district,1323,714947
andhra-pradesh,2021,1,vizianagaram district,781,526804
andhra-pradesh,2021,1,visakhapatnam district,4006,2403199
andhra-pradesh,2021,1,prakasam district,1182,585354
andhra-pradesh,2021,1,anantapur district,1264,621128
andhra-pradesh,2021,1,ysr district,1265,729565
andhra-pradesh,2021,1,west godavari district,1460,850251
andhra-pradesh,2021,1,kurnool district,1270,508161
andhra-pradesh,2021,1,chittoor district,1629,1058050
andhra-pradesh,2021,1,guntur district,2412,1398326
andhra-pradesh,2021,1,krishna district,2722,1699716
andhra-pradesh,2021,2,east godavari district,2343,1695121
andhra-pradesh,2021,2,srikakulam district,842,755796
andhra-pradesh,2021,2,spsr nellore district,1817,1245872
andhra-pradesh,2021,2,vizianagaram district,815,702006
andhra-pradesh,2021,2,visakhapatnam district,4655,3497573
andhra-pradesh,2021,2,prakasam district,5308,2719134
andhra-pradesh,2021,2,anantapur district,1631,1284850
andhra-pradesh,2021,2,ysr district,1404,1026195
andhra-pradesh,2021,2,west godavari district,4170,2327122
andhra-pradesh,2021,2,kurnool district,1410,941389
andhra-pradesh,2021,2,chittoor district,2392,1839579
andhra-pradesh,2021,2,guntur district,2967,2201793
andhra-pradesh,2021,2,krishna district,3451,2494257
andhra-pradesh,2021,3,east godavari district,2248,2073825
andhra-pradesh,2021,3,srikakulam district,798,803258
andhra-pradesh,2021,3,spsr nellore district,1486,1161025
andhra-pradesh,2021,3,vizianagaram district,736,628946
andhra-pradesh,2021,3,visakhapatnam district,4044,3191769
andhra-pradesh,2021,3,prakasam district,1050,877683
andhra-pradesh,2021,3,anantapur district,1329,1311735
andhra-pradesh,2021,3,ysr district,1137,1033282
andhra-pradesh,2021,3,west godavari district,1452,1216098
andhra-pradesh,2021,3,kurnool district,1027,796678
andhra-pradesh,2021,3,chittoor district,1991,1995617
andhra-pradesh,2021,3,guntur district,2519,2102143
andhra-pradesh,2021,3,krishna district,3258,2722279
andhra-pradesh,2021,4,east godavari district,2532,3543718
andhra-pradesh,2021,4,srikakulam district,1116,1152210
andhra-pradesh,2021,4,spsr nellore district,2369,2345876
andhra-pradesh,2021,4,vizianagaram district,924,916336
andhra-pradesh,2021,4,visakhapatnam district,4176,5425896
andhra-pradesh,2021,4,prakasam district,1181,1328774
andhra-pradesh,2021,4,anantapur district,1322,2101400
andhra-pradesh,2021,4,ysr district,1449,1479933
andhra-pradesh,2021,4,west godavari district,1262,1853561
andhra-pradesh,2021,4,kurnool district,910,1306288
andhra-pradesh,2021,4,chittoor district,2444,3100521
andhra-pradesh,2021,4,guntur district,2709,3214794
andhra-pradesh,2021,4,krishna district,3029,3841028
andhra-pradesh,2022,1,east godavari district,3605,5199664
andhra-pradesh,2022,1,srikakulam district,1004,1393633
andhra-pradesh,2022,1,spsr nellore district,1878,2608475
andhra-pradesh,2022,1,vizianagaram district,949,1344329
andhra-pradesh,2022,1,visakhapatnam district,5196,6953446
andhra-pradesh,2022,1,prakasam district,1797,2181402
andhra-pradesh,2022,1,anantapur district,1551,2556602
andhra-pradesh,2022,1,ysr district,1439,2086496
andhra-pradesh,2022,1,west godavari district,1991,3109555
andhra-pradesh,2022,1,kurnool district,995,1641988
andhra-pradesh,2022,1,chittoor district,2887,4304499
andhra-pradesh,2022,1,guntur district,2748,3988284
andhra-pradesh,2022,1,krishna district,3914,5279784
andhra-pradesh,2022,2,east godavari district,3103,3899091
andhra-pradesh,2022,2,srikakulam district,946,1282760
andhra-pradesh,2022,2,spsr nellore district,2063,2686947
andhra-pradesh,2022,2,vizianagaram district,1145,1412957
andhra-pradesh,2022,2,visakhapatnam district,5851,7046107
andhra-pradesh,2022,2,prakasam district,1962,2331922
andhra-pradesh,2022,2,anantapur district,1794,2729962
andhra-pradesh,2022,2,ysr district,1418,1920103
andhra-pradesh,2022,2,west godavari district,2141,2903957
andhra-pradesh,2022,2,kurnool district,1233,1573534
andhra-pradesh,2022,2,chittoor district,2836,4207850
andhra-pradesh,2022,2,guntur district,3115,3979873
andhra-pradesh,2022,2,krishna district,4578,5733009
andhra-pradesh,2022,3,east godavari district,4355,5505134
andhra-pradesh,2022,3,srikakulam district,1079,1444643
andhra-pradesh,2022,3,spsr nellore district,2593,3257610
andhra-pradesh,2022,3,vizianagaram district,1270,1573445
andhra-pradesh,2022,3,visakhapatnam district,6720,7779967
andhra-pradesh,2022,3,prakasam district,2137,2552054
andhra-pradesh,2022,3,anantapur district,1934,2719786
andhra-pradesh,2022,3,ysr district,1892,2559169
andhra-pradesh,2022,3,west godavari district,2314,3113617
andhra-pradesh,2022,3,kurnool district,1318,1720753
andhra-pradesh,2022,3,chittoor district,3729,5145111
andhra-pradesh,2022,3,guntur district,4431,5271211
andhra-pradesh,2022,3,krishna district,5529,6149431
andhra-pradesh,2022,4,east godavari district,4450,5856052
andhra-pradesh,2022,4,srikakulam district,1294,1623449
andhra-pradesh,2022,4,spsr nellore district,2733,3658896
andhra-pradesh,2022,4,vizianagaram district,1373,1680979
andhra-pradesh,2022,4,visakhapatnam district,7636,9911879
andhra-pradesh,2022,4,prakasam district,2400,2848596
andhra-pradesh,2022,4,anantapur district,2425,3710468
andhra-pradesh,2022,4,ysr district,2261,2993022
andhra-pradesh,2022,4,west godavari district,2623,3513389
andhra-pradesh,2022,4,kurnool district,1810,2859172
andhra-pradesh,2022,4,chittoor district,4641,6166050
andhra-pradesh,2022,4,guntur district,5199,6244165
andhra-pradesh,2022,4,krishna district,5484,6977122
andhra-pradesh,2023,1,east godavari district,4069,5915626
andhra-pradesh,2023,1,srikakulam district,1100,1628429
andhra-pradesh,2023,1,spsr nellore district,2461,3621734
andhra-pradesh,2023,1,vizianagaram district,1104,1619607
andhra-pradesh,2023,1,visakhapatnam district,6752,9502319
andhra-pradesh,2023,1,prakasam district,1437,2188369
andhra-pradesh,2023,1,anantapur district,1565,2882540
andhra-pradesh,2023,1,ysr district,1509,2235497
andhra-pradesh,2023,1,west godavari district,2196,3370241
andhra-pradesh,2023,1,kurnool district,1208,2088411
andhra-pradesh,2023,1,chittoor district,3284,5677174
