State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,2018,1,north and middle andaman district,442,931663.0771
andaman-&-nicobar-islands,2018,1,south andaman district,5688,12560249.34
andaman-&-nicobar-islands,2018,1,nicobars district,528,1139848.801
andaman-&-nicobar-islands,2018,2,north and middle andaman district,825,1317863.083
andaman-&-nicobar-islands,2018,2,south andaman district,9395,23948235.52
andaman-&-nicobar-islands,2018,2,nicobars district,1120,3072436.908
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283,4901529.518
andaman-&-nicobar-islands,2018,3,south andaman district,13511,44268112.46
andaman-&-nicobar-islands,2018,3,nicobars district,1471,6387829.152
andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137,7955635.918
andaman-&-nicobar-islands,2018,4,south andaman district,20136,75411840.8
andaman-&-nicobar-islands,2018,4,nicobars district,1485,7180859.355
andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264,9561708.736
andaman-&-nicobar-islands,2019,1,south andaman district,25683,85501972.39
andaman-&-nicobar-islands,2019,1,nicobars district,1539,7236059.549
andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371,8612103.138
andaman-&-nicobar-islands,2019,2,south andaman district,28490,102530955.7
andaman-&-nicobar-islands,2019,2,nicobars district,1828,9111650.824
andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049,11481466.28
andaman-&-nicobar-islands,2019,3,south andaman district,27421,91023888.33
andaman-&-nicobar-islands,2019,3,nicobars district,2300,11566421.48
andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716,13524056.78
andaman-&-nicobar-islands,2019,4,south andaman district,27843,110930312.2
andaman-&-nicobar-islands,2019,4,nicobars district,2600,12384161.53
andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674,14697371.62
andaman-&-nicobar-islands,2020,1,south andaman district,32713,134679396.9
andaman-&-nicobar-islands,2020,1,nicobars district,2911,12099543.77
andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979,22447714.06
andaman-&-nicobar-islands,2020,2,south andaman district,48088,132855778.7
andaman-&-nicobar-islands,2020,2,nicobars district,3895,14341508.6
andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747,33486883.37
andaman-&-nicobar-islands,2020,3,south andaman district,95323,282366109.2
andaman-&-nicobar-islands,2020,3,nicobars district,5413,22166453.75
andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349,68941322.39
andaman-&-nicobar-islands,2020,4,south andaman district,186494,523122462.9
andaman-&-nicobar-islands,2020,4,nicobars district,8688,35218871.04
andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358,75027255.28
andaman-&-nicobar-islands,2021,1,south andaman district,207092,669604045.1
andaman-&-nicobar-islands,2021,1,nicobars district,10302,39075266.99
andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200,90233388.79
andaman-&-nicobar-islands,2021,2,south andaman district,286907,760893020.6
andaman-&-nicobar-islands,2021,2,nicobars district,15307,48020606.75
andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592,118254865.8
andaman-&-nicobar-islands,2021,3,south andaman district,382418,1116789011
andaman-&-nicobar-islands,2021,3,nicobars district,20754,74980519.33
andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.3
andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708
andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.03
andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,161624878.5
andaman-&-nicobar-islands,2022,1,south andaman district,705512,1872991196
andaman-&-nicobar-islands,2022,1,nicobars district,29177,94414127.65
andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,195693167.8
andaman-&-nicobar-islands,2022,2,south andaman district,954875,2357326563
andaman-&-nicobar-islands,2022,2,nicobars district,43769,132900618.9
andaman-&-nicobar-islands,2022,3,north and middle andaman district,79574,211581970.3
andaman-&-nicobar-islands,2022,3,south andaman district,1455255,2967719401
andaman-&-nicobar-islands,2022,3,nicobars district,49550,131330400.9
andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,241431284.4
andaman-&-nicobar-islands,2022,4,south andaman district,1835592,3600887266
andaman-&-nicobar-islands,2022,4,nicobars district,58646,142355854
andaman-&-nicobar-islands,2023,1,north and middle andaman district,152187,392080332
andaman-&-nicobar-islands,2023,1,south andaman district,2030078,3867385426
andaman-&-nicobar-islands,2023,1,nicobars district,94127,202062829
andaman-&-nicobar-islands,2023,2,north and middle andaman district,181149,462414675
andaman-&-nicobar-islands,2023,2,south andaman district,2417058,4297737197
andaman-&-nicobar-islands,2023,2,nicobars district,109568,230192364
andaman-&-nicobar-islands,2023,3,north and middle andaman district,198547,495623030
andaman-&-nicobar-islands,2023,3,south andaman district,2771397,4462201588
andaman-&-nicobar-islands,2023,3,nicobars district,128432,253772173
andaman-&-nicobar-islands,2023,4,north and middle andaman district,230234,540759631
andaman-&-nicobar-islands,2023,4,south andaman district,3311962,5417264997
andaman-&-nicobar-islands,2023,4,nicobars district,153587,311527871
andaman-&-nicobar-islands,2024,1,north and middle andaman district,266400,601756070
andaman-&-nicobar-islands,2024,1,south andaman district,3751724,5952049462
andaman-&-nicobar-islands,2024,1,nicobars district,166796,305346303
andaman-&-nicobar-islands,2024,2,north and middle andaman district,313301,676844858
andaman-&-nicobar-islands,2024,2,south andaman district,4153251,6285248054
andaman-&-nicobar-islands,2024,2,nicobars district,186672,333687418
andaman-&-nicobar-islands,2024,3,north and middle andaman district,364075,724234808
andaman-&-nicobar-islands,2024,3,south andaman district,4704639,6567147442
andaman-&-nicobar-islands,2024,3,nicobar district,210536,372462759
andaman-&-nicobar-islands,2024,4,north and middle andaman district,411230,759100984
andaman-&-nicobar-islands,2024,4,south andaman district,5419850,7760167334
andaman-&-nicobar-islands,2024,4,nicobar district,232820,401676455
andhra-pradesh,2018,1,east godavari district,943935,1235785516
andhra-pradesh,2018,1,srikakulam district,458921,587778028.9
andhra-pradesh,2018,1,spsr nellore district,531612,676643237.8
andhra-pradesh,2018,1,vizianagaram district,420990,505783445.8
andhra-pradesh,2018,1,visakhapatnam district,1256469,1749966197
andhra-pradesh,2018,1,prakasam district,534757,748990775.9
andhra-pradesh,2018,1,anantapur district,638664,788830646
andhra-pradesh,2018,1,ysr district,487333,681481931.1
andhra-pradesh,2018,1,west godavari district,577090,853547668.8
andhra-pradesh,2018,1,kurnool district,679623,764905298.7
andhra-pradesh,2018,1,chittoor district,830324,1009621878
andhra-pradesh,2018,1,guntur district,815932,1108686589
andhra-pradesh,2018,1,krishna district,863935,1284255180
andhra-pradesh,2018,2,east godavari district,1221677,2168914928
andhra-pradesh,2018,2,srikakulam district,559868,929392017.4
andhra-pradesh,2018,2,spsr nellore district,780454,1542057934
andhra-pradesh,2018,2,vizianagaram district,529588,811711367.5
andhra-pradesh,2018,2,visakhapatnam district,1641192,2987853607
andhra-pradesh,2018,2,prakasam district,739991,1571167562
andhra-pradesh,2018,2,anantapur district,937023,1690366079
andhra-pradesh,2018,2,ysr district,690842,1415500368
andhra-pradesh,2018,2,west godavari district,786033,1688025212
andhra-pradesh,2018,2,kurnool district,968439,1531888666
andhra-pradesh,2018,2,chittoor district,1185723,1990419126
andhra-pradesh,2018,2,guntur district,1088101,2108475812
andhra-pradesh,2018,2,krishna district,1224987,2448141593
andhra-pradesh,2018,3,east godavari district,3226907,3551247095
andhra-pradesh,2018,3,srikakulam district,1073883,1318322237
andhra-pradesh,2018,3,spsr nellore district,1308890,2215938596
andhra-pradesh,2018,3,vizianagaram district,970132,1163546007
