State,Year,Quarter,Pincode,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,2020,2,744301,3,565
andaman-&-nicobar-islands,2020,2,744104,2,513
andaman-&-nicobar-islands,2020,2,744101,1,282
andaman-&-nicobar-islands,2020,3,744112,9,3432
andaman-&-nicobar-islands,2020,3,744105,7,3948
andaman-&-nicobar-islands,2020,3,744101,5,2194
andaman-&-nicobar-islands,2020,3,744206,4,1620
andaman-&-nicobar-islands,2020,3,744107,3,1095
andaman-&-nicobar-islands,2020,3,744103,3,947
andaman-&-nicobar-islands,2020,3,744302,3,562
andaman-&-nicobar-islands,2020,3,744211,2,101
andaman-&-nicobar-islands,2020,3,744301,2,886
andaman-&-nicobar-islands,2020,3,744102,2,314
andaman-&-nicobar-islands,2020,4,744105,25,25659
andaman-&-nicobar-islands,2020,4,744101,23,29686
andaman-&-nicobar-islands,2020,4,744103,18,24904
andaman-&-nicobar-islands,2020,4,744102,17,25073
andaman-&-nicobar-islands,2020,4,744112,8,10459
andaman-&-nicobar-islands,2020,4,744106,6,4840
andaman-&-nicobar-islands,2020,4,744204,6,11659
andaman-&-nicobar-islands,2020,4,744104,4,10271
andaman-&-nicobar-islands,2020,4,744206,3,100
andaman-&-nicobar-islands,2020,4,744205,3,5235
andaman-&-nicobar-islands,2021,1,744105,47,53060
andaman-&-nicobar-islands,2021,1,744103,35,39985
andaman-&-nicobar-islands,2021,1,744101,33,24571
andaman-&-nicobar-islands,2021,1,744204,25,29635
andaman-&-nicobar-islands,2021,1,744202,12,17588
andaman-&-nicobar-islands,2021,1,744102,12,14085
andaman-&-nicobar-islands,2021,1,744104,9,7310
andaman-&-nicobar-islands,2021,1,744107,8,9253
andaman-&-nicobar-islands,2021,1,744205,7,11223
andaman-&-nicobar-islands,2021,1,744301,7,6612
andaman-&-nicobar-islands,2021,2,744103,36,33716
andaman-&-nicobar-islands,2021,2,744101,17,19787
andaman-&-nicobar-islands,2021,2,744105,15,17163
andaman-&-nicobar-islands,2021,2,744102,13,10326
andaman-&-nicobar-islands,2021,2,744204,10,10557
andaman-&-nicobar-islands,2021,2,744107,8,11459
andaman-&-nicobar-islands,2021,2,744202,6,9766
andaman-&-nicobar-islands,2021,2,744104,6,8889
andaman-&-nicobar-islands,2021,2,744205,6,12669
andaman-&-nicobar-islands,2021,2,744210,4,9430
andaman-&-nicobar-islands,2021,3,744105,70,82425
andaman-&-nicobar-islands,2021,3,744103,44,53909
andaman-&-nicobar-islands,2021,3,744101,26,29601
andaman-&-nicobar-islands,2021,3,744102,14,20616
andaman-&-nicobar-islands,2021,3,744204,13,20075
andaman-&-nicobar-islands,2021,3,744202,11,18134
andaman-&-nicobar-islands,2021,3,744112,11,14406
andaman-&-nicobar-islands,2021,3,744302,8,7247
andaman-&-nicobar-islands,2021,3,744107,6,6406
andaman-&-nicobar-islands,2021,3,744104,6,2221
andaman-&-nicobar-islands,2021,4,744105,194,232344
andaman-&-nicobar-islands,2021,4,744101,159,211326
andaman-&-nicobar-islands,2021,4,744103,133,168668
andaman-&-nicobar-islands,2021,4,744102,66,68931
andaman-&-nicobar-islands,2021,4,744301,32,53658
andaman-&-nicobar-islands,2021,4,744204,31,102213
andaman-&-nicobar-islands,2021,4,744104,24,31069
andaman-&-nicobar-islands,2021,4,744112,22,38599
andaman-&-nicobar-islands,2021,4,744202,21,23016
andaman-&-nicobar-islands,2021,4,744205,13,30437
andaman-&-nicobar-islands,2022,1,744103,174,226181
andaman-&-nicobar-islands,2022,1,744101,149,204646
andaman-&-nicobar-islands,2022,1,744105,137,218321
andaman-&-nicobar-islands,2022,1,744102,102,147402
andaman-&-nicobar-islands,2022,1,744112,36,39197
andaman-&-nicobar-islands,2022,1,744104,33,35406
andaman-&-nicobar-islands,2022,1,744107,28,36877
andaman-&-nicobar-islands,2022,1,744207,19,50799
andaman-&-nicobar-islands,2022,1,744301,16,33406
andaman-&-nicobar-islands,2022,1,744205,15,29159
andaman-&-nicobar-islands,2022,2,744103,97,156861
andaman-&-nicobar-islands,2022,2,744101,87,121168
andaman-&-nicobar-islands,2022,2,744105,78,137418
andaman-&-nicobar-islands,2022,2,744102,62,58453
andaman-&-nicobar-islands,2022,2,744104,26,32107
andaman-&-nicobar-islands,2022,2,744107,22,52244
andaman-&-nicobar-islands,2022,2,744211,19,25543
andaman-&-nicobar-islands,2022,2,744112,18,24391
andaman-&-nicobar-islands,2022,2,744301,14,28331
andaman-&-nicobar-islands,2022,2,744202,13,20817
andaman-&-nicobar-islands,2022,3,744103,151,198569
andaman-&-nicobar-islands,2022,3,744101,119,151539
andaman-&-nicobar-islands,2022,3,744105,101,106324
andaman-&-nicobar-islands,2022,3,744102,76,102757
andaman-&-nicobar-islands,2022,3,744104,31,35790
andaman-&-nicobar-islands,2022,3,744301,27,67604
andaman-&-nicobar-islands,2022,3,744202,27,53016
andaman-&-nicobar-islands,2022,3,744205,17,34250
andaman-&-nicobar-islands,2022,3,744107,16,29251
